구분,코드,키워드,,,
ATA,0540,TIME LIMITS/MAINTENANCE CHECK - SCHEDULED MAINTENANCE CHECKS,,,
ATA,0541,TIME LIMITS/MAINTENANCE CHECK - SCHEDULED MAINTENANCE CHECKS - ZONAL INSPECTION PROGRAM,,,
ATA,0542,TIME LIMITS/MAINTENANCE CHECK - SCHEDULED MAINTENANCE CHECKS - ENHANCED ZONAL INSPECTION PROGRAM,,,
ATA,0550,TIME LIMITS/MAINTENANCE CHECK - UNSCHEDULED MAINTENANCE CHECKS,,,
ATA,0551,TIME LIMITS/MAINTENANCE CHECK - UNSCHEDULED MAINTENANCE CHECKS - CONDITIONAL INSPECTIONS,,,
ATA,0555,TIME LIMITS/MAINTENANCE CHECK - UNSCHEDULED MAINTENANCE CHECKS - HIRF/LIGHTNING PROTECTION,,,
ATA,0556,TIME LIMITS/MAINTENANCE CHECK - UNSCHEDULED MAINTENANCE CHECKS - LRT (LOOP RESISTANCE TESTER),,,
ATA,0710,LIFTING AND SHORING - JACKING / LIFTING,,,
ATA,0720,LIFTING AND SHORING - SHORING,,,
ATA,0810,LEVELING AND WEIGHING - WEIGHING AND BALANCING,,,
ATA,0820,LEVELING AND WEIGHING - LEVELING,,,
ATA,0910,TOWING AND TAXIING - TOWING,,,
ATA,1010,PARKING AND MOORING - PARKING & STORAGE,,,
ATA,1011,PARKING AND MOORING - PARKING & STORAGE - PARKING,,,
ATA,1012,PARKING AND MOORING - PARKING & STORAGE - STORAGE,,,
ATA,1020,PARKING AND MOORING - MOORING,,,
ATA,1030,PARKING AND MOORING - RETURN TO SERVICE,,,
ATA,1120,PLACARDS AND MARKINGS - EXTERIOR PLACARDS,,,
ATA,1130,PLACARDS AND MARKINGS - INTERIOR PLACARDS,,,
ATA,1210,SERVICING - REPLENISHING / SERVICING,,,
ATA,1211,SERVICING - REPLENISHING / SERVICING - FUEL,,,
ATA,1212,SERVICING - REPLENISHING / SERVICING - HYDRAULIC,,,
ATA,1213,SERVICING - REPLENISHING / SERVICING - OIL,,,
ATA,1214,SERVICING - REPLENISHING / SERVICING - WATER,,,
ATA,1215,SERVICING - REPLENISHING / SERVICING - GASEOUS,,,
ATA,1216,SERVICING - REPLENISHING / SERVICING - WINDOW,,,
ATA,1217,SERVICING - REPLENISHING / SERVICING - LAVATORY,,,
ATA,1218,SERVICING - REPLENISHING / SERVICING - GALLEY,,,
ATA,1220,SERVICING - SCHEDULED SERVICING,,,
ATA,1221,SERVICING - SCHEDULED SERVICING - LUBRICATION,,,
ATA,1222,SERVICING - SCHEDULED SERVICING - OIL CHANGE,,,
ATA,1223,SERVICING - SCHEDULED SERVICING - FILTER IDENTIFICATION,,,
ATA,1224,SERVICING - SCHEDULED SERVICING - DRAINAGE,,,
ATA,1225,SERVICING - SCHEDULED SERVICING - CLEANING AND WASHING,,,
ATA,1226,SERVICING - SCHEDULED SERVICING - UPPER DECK CART LIFT,,,
ATA,1230,SERVICING - UNSCHEDULED SERVICING,,,
ATA,1233,SERVICING - UNSCHEDULED SERVICING - COLD WEATHER MAINTENANCE,,,
ATA,2120,AIR CONDITIONING - DISTRIBUTION,,,
ATA,2121,AIR CONDITIONING - DISTRIBUTION - MAIN,,,
ATA,2122,AIR CONDITIONING - DISTRIBUTION - COCKPIT,,,
ATA,2123,AIR CONDITIONING - DISTRIBUTION - CABIN,,,
ATA,2125,AIR CONDITIONING - DISTRIBUTION - RECIRCULATION,,,
ATA,2126,AIR CONDITIONING - DISTRIBUTION - VENTILATION,,,
ATA,2127,AIR CONDITIONING - DISTRIBUTION - AVIONICS/EQUIPMENT COOLING SYSTEM,,,
ATA,2128,AIR CONDITIONING - DISTRIBUTION - CARGO,,,
ATA,2129,AIR CONDITIONING - DISTRIBUTION - CREW REST AREA,,,
ATA,2130,AIR CONDITIONING - PRESSURIZATION CONTROL,,,
ATA,2131,AIR CONDITIONING - PRESSURIZATION CONTROL - CONTROLLER,,,
ATA,2132,AIR CONDITIONING - PRESSURIZATION CONTROL - VALVE / ACTUATOR,,,
ATA,2133,AIR CONDITIONING - PRESSURIZATION CONTROL - INDICATION,,,
ATA,2140,AIR CONDITIONING - HEATING,,,
ATA,2141,AIR CONDITIONING - HEATING - CREW REST AREA,,,
ATA,2142,AIR CONDITIONING - HEATING - CARGO COMPARTMENT,,,
ATA,2143,AIR CONDITIONING - HEATING - SUPPLEMENTAL HEATING,,,
ATA,2150,AIR CONDITIONING - PACK SYSTEM,,,
ATA,2151,AIR CONDITIONING - PACK SYSTEM - PACK FLOW CONTROL,,,
ATA,2152,AIR CONDITIONING - PACK SYSTEM - PACK TEMPERATURE CONTROL (INCLUDES INDICATION),,,
ATA,2153,AIR CONDITIONING - PACK SYSTEM - AIR CYCLE MACHINE,,,
ATA,2154,AIR CONDITIONING - PACK SYSTEM - RAM AIR INLET SYSTEM,,,
ATA,2158,AIR CONDITIONING - PACK SYSTEM - CSAS (CONDITIONED SERVICE AIR SYSTEM),,,
ATA,2160,AIR CONDITIONING - TEMPERATURE CONTROL,,,
ATA,2161,AIR CONDITIONING - TEMPERATURE CONTROL - ZONE TEMPERATURE CONTROL,,,
ATA,2162,AIR CONDITIONING - TEMPERATURE CONTROL - TRIM AIR CONTROL,,,
ATA,2170,AIR CONDITIONING - CABIN AIR QUALITY,,,
ATA,2171,AIR CONDITIONING - CABIN AIR QUALITY - HUMIDITY,,,
ATA,2172,AIR CONDITIONING - CABIN AIR QUALITY - OZONE,,,
ATA,2173,AIR CONDITIONING - CABIN AIR QUALITY - SMOKE/FUME OF UNKNOWN SOURCE,,,
ATA,2180,AIR CONDITIONING - LIQUID/GAS COOLING,,,
ATA,2210,AUTO FLIGHT - AUTOPILOT/FLIGHT DIRECTOR,,,
ATA,2211,AUTO FLIGHT - AUTOPILOT/FLIGHT DIRECTOR - AFDS / FCC,,,
ATA,2212,AUTO FLIGHT - AUTOPILOT/FLIGHT DIRECTOR - AUTO FLIGHT / MODE CONTROL PANEL,,,
ATA,2213,AUTO FLIGHT - AUTOPILOT/FLIGHT DIRECTOR - AUTOLAND / CAT3,,,
ATA,2220,AUTO FLIGHT - SPEED/ATTITUDE CORRECTION,,,
ATA,2221,AUTO FLIGHT - SPEED/ATTITUDE CORRECTION - YAW DAMPER CONTROLLER,,,
ATA,2222,AUTO FLIGHT - SPEED/ATTITUDE CORRECTION - AUTOMATIC STABILIZER TRIM,,,
ATA,2224,AUTO FLIGHT - SPEED/ATTITUDE CORRECTION - MACH / SPEED TRIM,,,
ATA,2230,AUTO FLIGHT - AUTO THROTTLE / THRUST CONTROL,,,
ATA,2280,AUTO FLIGHT - FLIGHT MANAGEMENT & GUIDANCE SYSTEM,,,
ATA,2281,AUTO FLIGHT - FLIGHT MANAGEMENT & GUIDANCE SYSTEM - FM (FLIGHT MANAGEMENT),,,
ATA,2282,AUTO FLIGHT - FLIGHT MANAGEMENT & GUIDANCE SYSTEM - FG (FLIGHT GUIDANCE),,,
ATA,2283,AUTO FLIGHT - FLIGHT MANAGEMENT & GUIDANCE SYSTEM - FE (FLIGHT ENVELOPE),,,
ATA,2284,AUTO FLIGHT - FLIGHT MANAGEMENT & GUIDANCE SYSTEM - FCU (FLIGHT CONTROL UNIT),,,
ATA,2285,AUTO FLIGHT - FLIGHT MANAGEMENT & GUIDANCE SYSTEM - MCDU,,,
ATA,2286,AUTO FLIGHT - FLIGHT MANAGEMENT & GUIDANCE SYSTEM - FMGEC,,,
ATA,2287,AUTO FLIGHT - FLIGHT MANAGEMENT & GUIDANCE SYSTEM - FLIGHT PLAN / DATA BASE LOADING,,,
ATA,2310,COMMUNICATIONS - VOICE COMMUNICATION,,,
ATA,2311,COMMUNICATIONS - VOICE COMMUNICATION - HF SYSTEM,,,
ATA,2312,COMMUNICATIONS - VOICE COMMUNICATION - VHF SYSTEM,,,
ATA,2315,COMMUNICATIONS - VOICE COMMUNICATION - SATCOM SYSTEM,,,
ATA,2320,COMMUNICATIONS - DATA TRANSMISSION,,,
ATA,2324,COMMUNICATIONS - DATA TRANSMISSION - ELT (EMERGENCY LOCATOR TRANSMITTER),,,
ATA,2325,COMMUNICATIONS - DATA TRANSMISSION - ULD (UNDERWATER LOCATING DEVICE),,,
ATA,2326,COMMUNICATIONS - DATA TRANSMISSION - WIRELESS AIRPORT COMMUNICATION SYS. (GATELINK),,,
ATA,2327,COMMUNICATIONS - DATA TRANSMISSION - ACARS,,,
ATA,2328,COMMUNICATIONS - DATA TRANSMISSION - SELCAL,,,
ATA,2340,COMMUNICATIONS - INTERPHONE SYSTEM,,,
ATA,2341,COMMUNICATIONS - INTERPHONE SYSTEM - SERVICE INTERPHONE SYSTEM,,,
ATA,2343,COMMUNICATIONS - INTERPHONE SYSTEM - GROUND CREW CALL SYSTEM,,,
ATA,2350,COMMUNICATIONS - AUDIO INTEGRATING SYSTEM,,,
ATA,2351,COMMUNICATIONS - AUDIO INTEGRATING SYSTEM - FLIGHT INTERPHONE SYSTEM,,,
ATA,2352,COMMUNICATIONS - AUDIO INTEGRATING SYSTEM - AMU (AUDIO MANAGEMENT / INTEGRATION),,,
ATA,2353,COMMUNICATIONS - AUDIO INTEGRATING SYSTEM - RADIO/AUDIO SELECTOR PANEL,,,
ATA,2354,COMMUNICATIONS - AUDIO INTEGRATING SYSTEM - HAND MICROPHONE / HEADSET,,,
ATA,2355,COMMUNICATIONS - AUDIO INTEGRATING SYSTEM - COCKPIT HANDSET / CRADLE,,,
ATA,2360,COMMUNICATIONS - STATIC DISCHARGE SYSTEM,,,
ATA,2361,COMMUNICATIONS - STATIC DISCHARGE SYSTEM - STATIC DISCHARGER,,,
ATA,2370,COMMUNICATIONS - AUDIO/VIDEO MONITORING,,,
ATA,2371,COMMUNICATIONS - AUDIO/VIDEO MONITORING - CVR (COCKPIT VOICE RECORDING) SYSTEM,,,
ATA,2375,COMMUNICATIONS - AUDIO/VIDEO MONITORING - VIDEO SURVEILLANCE SYSTEM,,,
ATA,2380,COMMUNICATIONS - PC POWER SYSTEM,,,
ATA,2382,COMMUNICATIONS - PC POWER SYSTEM - FLIGHT COMPARTMENT PC POWER SYSTEM,,,
ATA,2383,COMMUNICATIONS - PC POWER SYSTEM - SUPERNUMERARY AREA PC POWER SYSTEM,,,
ATA,2390,COMMUNICATIONS - DATA BUS SYSTEM COMMUNICATION,,,
ATA,2391,COMMUNICATIONS - DATA BUS SYSTEM COMMUNICATION - ARINC 629 MULTI TRANSMITTER DATA BUS,,,
ATA,2393,COMMUNICATIONS - DATA BUS SYSTEM COMMUNICATION - OPAS (OVERHEAD PANEL ARINC 629 SYSTEM),,,
ATA,2394,COMMUNICATIONS - DATA BUS SYSTEM COMMUNICATION - OLAN (ONBOARD LOCAL AREA NETWORK),,,
ATA,2410,ELECTRICAL POWER - GENERATOR DRIVE,,,
ATA,2411,ELECTRICAL POWER - GENERATOR DRIVE - QUICK ATTACH/DETACH RING,,,
ATA,2412,ELECTRICAL POWER - GENERATOR DRIVE - TERMINAL BLOCK,,,
ATA,2413,ELECTRICAL POWER - GENERATOR DRIVE - OIL SYSTEM,,,
ATA,2420,ELECTRICAL POWER - AC GENERATION,,,
ATA,2421,ELECTRICAL POWER - AC GENERATION - ENGINE GENERATOR,,,
ATA,2422,ELECTRICAL POWER - AC GENERATION - AC GENERATION AND BUS CONTROL & REGULATION,,,
ATA,2423,ELECTRICAL POWER - AC GENERATION - STANDBY / AUX / EMERGENCY / ESSENTIAL POWER,,,
ATA,2424,ELECTRICAL POWER - AC GENERATION - APU GENERATOR,,,
ATA,2425,ELECTRICAL POWER - AC GENERATION - BACKUP GENERATOR (B777),,,
ATA,2426,ELECTRICAL POWER - AC GENERATION - GALLEY POWER CONTROL,,,
ATA,2430,ELECTRICAL POWER - DC GENERATION,,,
ATA,2431,ELECTRICAL POWER - DC GENERATION - BATTERIES,,,
ATA,2432,ELECTRICAL POWER - DC GENERATION - TRU (TRANSFORMER RECTIFIER UNIT),,,
ATA,2433,ELECTRICAL POWER - DC GENERATION - STANDBY / EMERGENCY POWER,,,
ATA,2435,ELECTRICAL POWER - DC GENERATION - FCDC (FLIGHT CONTROL DC) POWER,,,
ATA,2440,ELECTRICAL POWER - EXTERNAL POWER,,,
ATA,2450,ELECTRICAL POWER - AC ELECTRICAL LOAD DISTRIBUTION,,,
ATA,2460,ELECTRICAL POWER - DC ELECTRICAL LOAD DISTRIBUTION,,,
ATA,2470,ELECTRICAL POWER - POWER DISTRIBUTION SYSTEM,,,
ATA,2471,ELECTRICAL POWER - POWER DISTRIBUTION SYSTEM - ELMS (B777),,,
ATA,2473,ELECTRICAL POWER - POWER DISTRIBUTION SYSTEM - PRIMARY AND SECONDARY POWER DISTRIBUTION (AIRBUS),,,
ATA,2480,ELECTRICAL POWER - CIRCUIT BREAKER MONITORING,,,
ATA,2490,ELECTRICAL POWER - ELECTRICAL WIRING / ROUTING,,,
ATA,2510,EQUIPMENT/FURNISHINGS - FLIGHT COMPARTMENT,,,
ATA,2511,EQUIPMENT/FURNISHINGS - FLIGHT COMPARTMENT - SEAT / BELT,,,
ATA,2512,EQUIPMENT/FURNISHINGS - FLIGHT COMPARTMENT - FWD EQUIPMENT CENTER / AVIONICS COMPARTMENT,,,
ATA,2513,EQUIPMENT/FURNISHINGS - FLIGHT COMPARTMENT - COCKPIT EQUIPMENT,,,
ATA,2515,EQUIPMENT/FURNISHINGS - FLIGHT COMPARTMENT - LINING / INSULATION / PANEL,,,
ATA,2517,EQUIPMENT/FURNISHINGS - FLIGHT COMPARTMENT - FLOOR COVERING,,,
ATA,2518,EQUIPMENT/FURNISHINGS - FLIGHT COMPARTMENT - DOCUMENT / FORM / CHART,,,
ATA,2519,EQUIPMENT/FURNISHINGS - FLIGHT COMPARTMENT - CREW REST AND ACCOMMODATION,,,
ATA,2520,EQUIPMENT/FURNISHINGS - PASSENGER COMPARTMENT,,,
ATA,2521,EQUIPMENT/FURNISHINGS - PASSENGER COMPARTMENT - PASSENGER SEAT / BELT,,,
ATA,2522,EQUIPMENT/FURNISHINGS - PASSENGER COMPARTMENT - ATTENDANT SEAT / BELT,,,
ATA,2523,EQUIPMENT/FURNISHINGS - PASSENGER COMPARTMENT - PSU (PASSENGER SERVICE UNIT),,,
ATA,2524,EQUIPMENT/FURNISHINGS - PASSENGER COMPARTMENT - PARTITIONS / CURTAINS / CLASS DIVIDER,,,
ATA,2525,EQUIPMENT/FURNISHINGS - PASSENGER COMPARTMENT - LINING / INSULATION / PANEL,,,
ATA,2526,EQUIPMENT/FURNISHINGS - PASSENGER COMPARTMENT - OVERHEAD BIN / STOWAGE COMPARTMENT / CLOSET,,,
ATA,2527,EQUIPMENT/FURNISHINGS - PASSENGER COMPARTMENT - FLOOR COVERING,,,
ATA,2528,EQUIPMENT/FURNISHINGS - PASSENGER COMPARTMENT - CABIN MISCELLANEOUS EQUIPMENT,,,
ATA,2529,EQUIPMENT/FURNISHINGS - PASSENGER COMPARTMENT - CREW REST AND ACCOMMODATION,,,
ATA,2530,EQUIPMENT/FURNISHINGS - BUFFET / GALLEY,,,
ATA,2531,"EQUIPMENT/FURNISHINGS - BUFFET / GALLEY - GALLEY STRUCTURE, DOOR, LATCH, LINING",,,
ATA,2532,EQUIPMENT/FURNISHINGS - BUFFET / GALLEY - GALLEY INSERT ITEM,,,
ATA,2533,"EQUIPMENT/FURNISHINGS - BUFFET / GALLEY - CHILLERS, REFRIGERATION, COOLING",,,
ATA,2534,EQUIPMENT/FURNISHINGS - BUFFET / GALLEY - MISCELLANEOUS EQUIPMENT,,,
ATA,2537,EQUIPMENT/FURNISHINGS - BUFFET / GALLEY - GALLEY AIR FILTER,,,
ATA,2538,"EQUIPMENT/FURNISHINGS - BUFFET / GALLEY - CART/TROLLEY, LIFT",,,
ATA,2540,EQUIPMENT/FURNISHINGS - LAVATORY,,,
ATA,2541,EQUIPMENT/FURNISHINGS - LAVATORY - LAVATORY MODULE / DOOR / LINING,,,
ATA,2542,EQUIPMENT/FURNISHINGS - LAVATORY - BASIN / COUNTER / SINK STOPPER,,,
ATA,2543,EQUIPMENT/FURNISHINGS - LAVATORY - CABINET / DISPENSER / MIRROR,,,
ATA,2544,EQUIPMENT/FURNISHINGS - LAVATORY - MISCELLANEOUS EQUIPMENT,,,
ATA,2545,"EQUIPMENT/FURNISHINGS - LAVATORY - TOILET (SEAT, SHROUD, etc.)",,,
ATA,2547,EQUIPMENT/FURNISHINGS - LAVATORY - LAVATORY AIR FILTER,,,
ATA,2550,EQUIPMENT/FURNISHINGS - CARGO COMPARTMENTS,,,
ATA,2551,EQUIPMENT/FURNISHINGS - CARGO COMPARTMENTS - LOWER DECK CARGO LINING / INSULATION,,,
ATA,2552,EQUIPMENT/FURNISHINGS - CARGO COMPARTMENTS - LOWER DECK CARGO EQUIPMENT,,,
ATA,2553,EQUIPMENT/FURNISHINGS - CARGO COMPARTMENTS - LOWER DECK CARGO HANDLING SYSTEM,,,
ATA,2554,EQUIPMENT/FURNISHINGS - CARGO COMPARTMENTS - LOWER DECK CARGO RESTRAINING SYSTEM,,,
ATA,2555,EQUIPMENT/FURNISHINGS - CARGO COMPARTMENTS - MAIN DECK CARGO LINING / INSULATION,,,
ATA,2556,EQUIPMENT/FURNISHINGS - CARGO COMPARTMENTS - MAIN DECK CARGO EQUIPMENT,,,
ATA,2557,EQUIPMENT/FURNISHINGS - CARGO COMPARTMENTS - MAIN DECK CARGO HANDLING SYSTEM,,,
ATA,2558,EQUIPMENT/FURNISHINGS - CARGO COMPARTMENTS - MAIN DECK CARGO RESTRAINING SYSTEM,,,
ATA,2560,EQUIPMENT/FURNISHINGS - EMERGENCY EQUIPMENT,,,
ATA,2561,EQUIPMENT/FURNISHINGS - EMERGENCY EQUIPMENT - LIFE VEST/JACKET,,,
ATA,2562,EQUIPMENT/FURNISHINGS - EMERGENCY EQUIPMENT - EMERGENCY SIGNALING EQUIPMENT,,,
ATA,2563,"EQUIPMENT/FURNISHINGS - EMERGENCY EQUIPMENT - ESCAPE ROPES, DESCENT DEVICE",,,
ATA,2564,EQUIPMENT/FURNISHINGS - EMERGENCY EQUIPMENT - EMERGENCY EQUIPMENT/FACILITIES,,,
ATA,2565,EQUIPMENT/FURNISHINGS - EMERGENCY EQUIPMENT - ESCAPE SLIDE/RAFT,,,
ATA,2566,EQUIPMENT/FURNISHINGS - EMERGENCY EQUIPMENT - FIRST AID KIT / MEDICAL KIT,,,
ATA,2567,EQUIPMENT/FURNISHINGS - EMERGENCY EQUIPMENT - PBE (PROTECTIVE BREATHING EQUIPMENT),,,
ATA,2569,EQUIPMENT/FURNISHINGS - EMERGENCY EQUIPMENT - ELT (EMERGENCY LOCATOR TRANSMITTER),,,
ATA,2570,EQUIPMENT/FURNISHINGS - ACCESSORY COMPARTMENTS,,,
ATA,2571,EQUIPMENT/FURNISHINGS - ACCESSORY COMPARTMENTS - EQUIPMENT CENTER,,,
ATA,2575,EQUIPMENT/FURNISHINGS - ACCESSORY COMPARTMENTS - LINING / INSULATION / PANEL,,,
ATA,2579,EQUIPMENT/FURNISHINGS - ACCESSORY COMPARTMENTS - CREW REST AND ACCOMMODATION,,,
ATA,2610,FIRE PROTECTION - DETECTION,,,
ATA,2611,FIRE PROTECTION - DETECTION - ENGINE FIRE/OVERHEAT,,,
ATA,2612,FIRE PROTECTION - DETECTION - PYLON STRUT OVERHEAT,,,
ATA,2613,FIRE PROTECTION - DETECTION - APU FIRE/OVERHEAT,,,
ATA,2614,FIRE PROTECTION - DETECTION - E/E & AVIONICS BAY SMOKE,,,
ATA,2615,FIRE PROTECTION - DETECTION - CARGO SMOKE,,,
ATA,2616,"FIRE PROTECTION - DETECTION - CABIN, GALLEY, CREW REST SMOKE/OVHT",,,
ATA,2617,FIRE PROTECTION - DETECTION - LAVATORY SMOKE,,,
ATA,2618,FIRE PROTECTION - DETECTION - WHEEL WELL,,,
ATA,2619,FIRE PROTECTION - DETECTION - DUCT LEAK / LEADING EDGE OVERHEAT,,,
ATA,2620,FIRE PROTECTION - FIRE EXTINGUISHING,,,
ATA,2621,FIRE PROTECTION - FIRE EXTINGUISHING - ENGINE,,,
ATA,2622,FIRE PROTECTION - FIRE EXTINGUISHING - PYLON STRUT,,,
ATA,2623,FIRE PROTECTION - FIRE EXTINGUISHING - APU,,,
ATA,2625,FIRE PROTECTION - FIRE EXTINGUISHING - CARGO,,,
ATA,2626,FIRE PROTECTION - FIRE EXTINGUISHING - CREW REST,,,
ATA,2627,FIRE PROTECTION - FIRE EXTINGUISHING - LAVATORY,,,
ATA,2629,FIRE PROTECTION - FIRE EXTINGUISHING - PORTABLE FIRE EXTINGUISHER,,,
ATA,2630,FIRE PROTECTION - FIREWALL SYSTEM,,,
ATA,2702,FLIGHT CONTROLS - PRIMARY FLIGHT CONTROL SYSTEM / FCE,,,
ATA,2703,FLIGHT CONTROLS - SECONDARY/BACK-UP FLIGHT CONTROL SYS.,,,
ATA,2710,FLIGHT CONTROLS - AILERON,,,
ATA,2711,FLIGHT CONTROLS - AILERON - CONTROL SYSTEM,,,
ATA,2718,FLIGHT CONTROLS - AILERON - INDICATION,,,
ATA,2720,FLIGHT CONTROLS - RUDDER,,,
ATA,2721,FLIGHT CONTROLS - RUDDER - CONTROL SYSTEM,,,
ATA,2723,FLIGHT CONTROLS - RUDDER - TRAVEL LIMIT,,,
ATA,2724,FLIGHT CONTROLS - RUDDER - EMPENNAGE DOOR ACTUATION SYSTEM,,,
ATA,2728,FLIGHT CONTROLS - RUDDER - INDICATION,,,
ATA,2730,FLIGHT CONTROLS - ELEVATOR,,,
ATA,2731,FLIGHT CONTROLS - ELEVATOR - CONTROL SYSTEM,,,
ATA,2732,FLIGHT CONTROLS - ELEVATOR - STALL WARNING SYSTEM,,,
ATA,2738,FLIGHT CONTROLS - ELEVATOR - INDICATION,,,
ATA,2740,FLIGHT CONTROLS - STABILIZER,,,
ATA,2741,FLIGHT CONTROLS - STABILIZER - CONTROL SYSTEM,,,
ATA,2748,FLIGHT CONTROLS - STABILIZER - INDICATION,,,
ATA,2750,FLIGHT CONTROLS - TE FLAP,,,
ATA,2751,FLIGHT CONTROLS - TE FLAP - CONTROL SYSTEM,,,
ATA,2758,FLIGHT CONTROLS - TE FLAP - INDICATION,,,
ATA,2759,FLIGHT CONTROLS - TE FLAP - SKEW DETECTION SYSTEM,,,
ATA,2760,FLIGHT CONTROLS - SPOILER,,,
ATA,2761,FLIGHT CONTROLS - SPOILER - SPOILER CONTROL SYSTEM,,,
ATA,2762,FLIGHT CONTROLS - SPOILER - SPEED BRAKE CONTROL SYSTEM,,,
ATA,2768,FLIGHT CONTROLS - SPOILER - INDICATION,,,
ATA,2780,FLIGHT CONTROLS - L/E SLAT CONTROL SYSTEM,,,
ATA,2781,FLIGHT CONTROLS - L/E SLAT CONTROL SYSTEM - CONTROL SYSTEM,,,
ATA,2788,FLIGHT CONTROLS - L/E SLAT CONTROL SYSTEM - INDICATION,,,
ATA,2789,FLIGHT CONTROLS - L/E SLAT CONTROL SYSTEM - SKEW DETECTION,,,
ATA,2790,FLIGHT CONTROLS - EFCS / FLIGHT CONTROL COMPUTER,,,
ATA,2792,FLIGHT CONTROLS - EFCS / FLIGHT CONTROL COMPUTER - EFCS CONTROL & POWER SUPPLY,,,
ATA,2793,"FLIGHT CONTROLS - EFCS / FLIGHT CONTROL COMPUTER - FCPC / PRIM, FCGU",,,
ATA,2794,FLIGHT CONTROLS - EFCS / FLIGHT CONTROL COMPUTER - FCSC / SEC,,,
ATA,2795,FLIGHT CONTROLS - EFCS / FLIGHT CONTROL COMPUTER - FCDC,,,
ATA,2799,FLIGHT CONTROLS - EFCS / FLIGHT CONTROL COMPUTER - ELECTRICAL BACKUP,,,
ATA,2810,FUEL - FUEL STORAGE,,,
ATA,2811,FUEL - FUEL STORAGE - FUEL TANK,,,
ATA,2813,FUEL - FUEL STORAGE - FUEL VENT,,,
ATA,2815,FUEL - FUEL STORAGE - FUEL/WATER SCAVENGE,,,
ATA,2817,FUEL - FUEL STORAGE - FUEL SUMP,,,
ATA,2818,FUEL - FUEL STORAGE - FUEL CONTAMINATION,,,
ATA,2819,FUEL - FUEL STORAGE - FUEL LEAK,,,
ATA,2820,FUEL - FUEL DISTRIBUTION,,,
ATA,2821,FUEL - FUEL DISTRIBUTION - REFUEL / DEFUEL,,,
ATA,2822,FUEL - FUEL DISTRIBUTION - ENG FUEL FEED/PUMP SYSTEM,,,
ATA,2823,FUEL - FUEL DISTRIBUTION - CROSSFEED,,,
ATA,2825,FUEL - FUEL DISTRIBUTION - APU FUEL FEED/PUMP SYSTEM,,,
ATA,2826,FUEL - FUEL DISTRIBUTION - FUEL TRANSFER,,,
ATA,2830,FUEL - FUEL DUMP,,,
ATA,2831,FUEL - FUEL DUMP - JETTISON,,,
ATA,2840,FUEL - FUEL INDICATING,,,
ATA,2841,FUEL - FUEL INDICATING - QUANTITY,,,
ATA,2842,FUEL - FUEL INDICATING - PRESSURE,,,
ATA,2843,FUEL - FUEL INDICATING - TEMPERATURE,,,
ATA,2844,FUEL - FUEL INDICATING - FUEL MEASURING,,,
ATA,2850,FUEL - FUEL MANAGEMENT AND CONTROL SYSTEM,,,
ATA,2910,HYDRAULIC - POWER,,,
ATA,2911,HYDRAULIC - POWER - ACCUMULATOR,,,
ATA,2912,HYDRAULIC - POWER - FILTER / DIFFERENTIAL PRESSURE SENSOR / DPI,,,
ATA,2913,HYDRAULIC - POWER - EDP (ENGINE DRIVEN PUMP),,,
ATA,2914,HYDRAULIC - POWER - AUXILIARY / ELECTRIC PUMP,,,
ATA,2915,HYDRAULIC - POWER - ADP (AIR DRIVEN PUMP),,,
ATA,2916,HYDRAULIC - POWER - STANDBY HYDRAULIC SYSTEM / PTU,,,
ATA,2917,HYDRAULIC - POWER - RAT (RAM AIR TURBINE),,,
ATA,2918,HYDRAULIC - POWER - GROUND SERVICING / HAND PUMP,,,
ATA,2920,HYDRAULIC - DISTRIBUTION,,,
ATA,2921,HYDRAULIC - DISTRIBUTION - HYDRAULIC LEAK,,,
ATA,2922,HYDRAULIC - DISTRIBUTION - RESERVOIR / RESERVOIR PRESSURIZATION,,,
ATA,2930,HYDRAULIC - HYDRAULIC INDICATION/CONTROL,,,
ATA,2931,HYDRAULIC - HYDRAULIC INDICATION/CONTROL - PRESSURE,,,
ATA,2932,HYDRAULIC - HYDRAULIC INDICATION/CONTROL - TEMPERATURE / OVERHEAT,,,
ATA,2933,HYDRAULIC - HYDRAULIC INDICATION/CONTROL - FLUID QUANTITY,,,
ATA,2934,HYDRAULIC - HYDRAULIC INDICATION/CONTROL - HYDRAULIC CONTROL UNIT / CONTROLLER,,,
ATA,2940,HYDRAULIC - HYDRAULIC COOLING SYSTEM (A380),,,
ATA,3010,ICE AND RAIN PROTECTION - WING ANTI-ICE,,,
ATA,3020,ICE AND RAIN PROTECTION - AIR INTAKES,,,
ATA,3021,ICE AND RAIN PROTECTION - AIR INTAKES - ENGINE ANTI-ICE,,,
ATA,3030,ICE AND RAIN PROTECTION - AIR SENSING DEVICE ANTI-ICE,,,
ATA,3031,ICE AND RAIN PROTECTION - AIR SENSING DEVICE ANTI-ICE - PITOT PROBE/STATIC PORT HEAT,,,
ATA,3032,ICE AND RAIN PROTECTION - AIR SENSING DEVICE ANTI-ICE - TOTAL AIR TEMPERATURE PROBE HEAT,,,
ATA,3033,ICE AND RAIN PROTECTION - AIR SENSING DEVICE ANTI-ICE - ANGLE OF ATTACK HEAT,,,
ATA,3034,ICE AND RAIN PROTECTION - AIR SENSING DEVICE ANTI-ICE - ENGINE PROBE HEAT,,,
ATA,3040,ICE AND RAIN PROTECTION - WINDSHIELD/WINDOWS AND DOORS,,,
